PRODUCT_ID,PRODUCT_TYPE,YIELD_RATE,SHIFT,MACHINE_ID,OPERATOR_ID,MATERIAL_BATCH,TEMPERATURE,HUMIDITY,DOWNTIME,DEFECT_COUNT,MAINTENANCE_SCHEDULE,TRACK_OUT_DATE,MANUFACTURE_DATE,MODEL_NAME,YEAR_OF_MANUFACTURE,ENGINE_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,BODY_STYLE,Price(in Dollars),Mileage (km/l or mpg),SEATING_CAPACITY,COLOR_OPTIONS,SAFETY_FEATURES,Warranty Period(in Years),Horsepower (HP),Torque (Nm),Top Speed (km/h or mph),Acceleration (0-100 km/h or 0-60 mph),Dimensions (L x W x H),Weight (kg or lbs),Fuel Tank Capacity (liters)
17,Nissan,0.81,Night,16,48,Batch_14,23.11,69.93,9.26,2,21:37.5,2024-07-23,2024-11-03,Model_50,2008,V6,Diesel,Automatic,SUV,23560,25.70,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,335,317,321,6.09,4096 x 1781 x 1480 mm,1898,73
18,Aston Martin,0.88,Afternoon,11,46,Batch_64,18.10,62.08,2.57,0,21:37.5,2024-07-11,2024-04-25,Model_28,2019,Electric,Electric,Manual,SUV,86179,18.05,7,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,476,207,257,7.64,4134 x 1795 x 1495 mm,1085,
19,Peugeot,0.86,Morning,10,47,Batch_78,28.17,67.76,0.60,10,21:37.5,2024-10-18,2024-09-12,Model_80,2017,V8,Diesel,Manual,Hatchback,72485,22.21,6,"Red, Blue, Black","Airbags, ABS, EBD",5,696,511,332,6.10,4541 x 1840 x 1486 mm,2408,70
20,Pontiac,0.84,Afternoon,19,1,Batch_60,19.51,54.06,6.64,6,21:37.5,2024-02-01,2024-09-05,Model_61,2011,V6,Petrol,Automatic,Sedan,53482,16.80,6,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,125,244,301,8.40,4933 x 1858 x 1515 mm,1057,58
21,Citroen,0.91,Morning,8,47,Batch_18,23.50,45.37,8.22,10,21:37.5,2024-04-14,2024-10-21,Model_28,2008,Hybrid,Petrol,Manual,Coupe,31479,25.90,7,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",6,303,751,262,5.65,4404 x 1774 x 1552 mm,1407,43
22,Saab,0.94,Morning,15,38,Batch_76,24.72,46.32,2.05,1,21:37.5,2024-02-24,2024-08-30,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
23,Land Rover,0.83,Morning,8,36,Batch_75,28.16,35.82,6.92,3,21:37.5,2024-10-16,2024-02-21,Model_42,2008,V8,Diesel,Automatic,Coupe,98054,21.75,7,"Red, Blue, Black","Airbags, ABS, EBD",5,197,203,201,6.48,4850 x 1907 x 1429 mm,2124,40
24,Saab,0.96,Afternoon,20,50,Batch_64,26.02,40.88,2.47,8,21:37.5,2024-11-03,2024-08-16,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
25,Isuzu,0.93,Afternoon,17,21,Batch_99,26.00,62.07,1.81,6,21:37.5,2024-08-28,2024-10-12,Model_86,2023,Electric,Electric,Manual,Hatchback,77244,10.25,5,"Green, Yellow, Orange","Airbags, ABS, EBD",3,169,826,327,2.86,4499 x 1763 x 1527 mm,1540,
26,Rivian,0.82,Afternoon,20,42,Batch_72,16.17,37.38,1.42,8,21:37.5,2024-04-07,2024-04-06,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
27,Chrysler,0.81,Morning,16,2,Batch_1,19.40,41.02,4.05,2,21:37.5,2024-05-02,2024-01-07,Model_75,2019,Hybrid,Diesel,Automatic,Coupe,25723,28.85,5,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",3,525,762,283,8.31,4523 x 1711 x 1563 mm,1779,68
28,Polestar,0.97,Afternoon,15,13,Batch_59,29.48,65.03,3.44,0,21:37.5,2024-09-08,2024-06-27,Model_83,2016,Hybrid,Hybrid,Automatic,Hatchback,94144,19.15,6,"White, Silver, Grey","Traction Control, Lane Assist",5,509,900,347,7.59,4529 x 1726 x 1578 mm,1830,66
29,Volvo,0.91,Morning,17,1,Batch_66,28.11,52.39,9.83,2,21:37.5,2024-07-26,2024-01-16,Model_17,2009,V6,Hybrid,Automatic,Coupe,81395,12.04,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,211,652,157,5.50,4718 x 1777 x 1406 mm,1339,44
30,Cadillac,0.92,Morning,7,36,Batch_35,19.55,36.53,5.03,2,21:37.5,2024-04-22,2024-04-25,Model_5,2003,Electric,Electric,Manual,Hatchback,65277,16.30,5,"White, Silver, Grey","Traction Control, Lane Assist",4,384,706,308,7.23,4086 x 1859 x 1458 mm,1998,
31,Smart,0.98,Night,4,13,Batch_90,24.43,64.68,0.90,7,21:37.5,2024-09-09,2024-06-13,Model_73,2013,Electric,Electric,Manual,Sedan,39143,18.04,2,"Green, Yellow, Orange","Airbags, ABS, EBD",4,173,635,255,5.50,4625 x 1836 x 1489 mm,1642,
32,Lucid Motors,0.98,Afternoon,7,8,Batch_51,28.13,61.83,3.98,4,21:37.5,2023-11-29,2024-07-01,Model_66,2020,V6,Diesel,Automatic,Hatchback,47961,19.29,4,"White, Silver, Grey","Traction Control, Lane Assist",3,234,611,172,4.86,4691 x 1898 x 1585 mm,2310,74
33,Pontiac,0.88,Afternoon,9,18,Batch_47,16.39,47.00,1.94,2,21:37.5,2023-12-14,2023-12-22,Model_61,2011,V6,Petrol,Automatic,Sedan,53482,16.80,6,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,125,244,301,8.40,4933 x 1858 x 1515 mm,1057,58
34,Hyundai,0.83,Afternoon,10,37,Batch_25,28.11,58.84,9.21,10,21:37.5,2023-12-27,2024-01-27,Model_42,2014,Hybrid,Petrol,Automatic,Sedan,41985,23.14,2,"Red, Blue, Black","Airbags, ABS, EBD",4,645,578,181,6.63,4321 x 1718 x 1506 mm,1336,76
35,Renault,0.92,Morning,9,43,Batch_57,17.63,37.94,9.05,8,21:37.5,2024-09-04,2024-09-15,Model_86,2007,V8,Petrol,Automatic,Sedan,44407,17.62,7,"White, Silver, Grey","Airbags, ABS, EBD",4,102,537,240,7.30,4457 x 1980 x 1467 mm,1352,64
36,Porsche,0.94,Night,9,50,Batch_4,24.81,48.36,1.47,7,21:37.5,2024-05-21,2024-02-09,Model_41,2000,V6,Diesel,Automatic,Hatchback,80941,22.97,7,"White, Silver, Grey","Traction Control, Lane Assist",6,629,781,283,7.42,4192 x 1895 x 1499 mm,2143,79
37,Polestar,0.92,Afternoon,4,41,Batch_79,26.44,49.53,3.47,4,21:37.5,2024-09-29,2023-12-15,Model_83,2016,Hybrid,Hybrid,Automatic,Hatchback,94144,19.15,6,"White, Silver, Grey","Traction Control, Lane Assist",5,509,900,347,7.59,4529 x 1726 x 1578 mm,1830,66
38,Fiat,0.88,Afternoon,3,13,Batch_58,19.14,58.63,7.64,5,21:37.5,2024-07-23,2024-07-08,Model_19,2004,Electric,Electric,Manual,Coupe,29483,16.94,7,"Red, Blue, Black","Airbags, ABS, EBD",6,504,615,332,8.48,4641 x 1712 x 1429 mm,1231,
39,Seat,0.93,Morning,10,27,Batch_99,15.44,65.69,2.71,2,21:37.5,2024-09-05,2024-10-22,Model_92,2004,Hybrid,Hybrid,Automatic,Hatchback,94167,17.01,2,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,246,855,208,2.69,4386 x 1946 x 1429 mm,1743,73
40,Mercedes-Benz,0.83,Morning,4,14,Batch_56,23.01,64.64,9.01,9,21:37.5,2024-06-11,2024-07-17,Model_76,2000,V6,Diesel,Automatic,SUV,88004,12.19,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,653,544,303,8.79,4852 x 1924 x 1458 mm,2163,43
41,Opel,0.84,Morning,14,23,Batch_1,15.71,41.22,7.81,10,21:37.5,2024-06-01,2024-04-12,Model_29,2013,Electric,Electric,Manual,Coupe,29039,18.28,7,"Green, Yellow, Orange","Traction Control, Lane Assist",4,154,222,290,4.21,4220 x 1999 x 1526 mm,1146,
42,Ram Trucks,0.92,Morning,17,41,Batch_62,17.82,58.57,8.15,4,21:37.5,2024-05-22,2024-09-27,Model_69,2018,Electric,Electric,Manual,Coupe,51389,12.10,5,"Red, Blue, Black","Airbags, ABS, EBD",6,469,596,346,4.03,4091 x 1782 x 1511 mm,1338,
43,Rivian,0.89,Night,1,17,Batch_26,29.13,51.82,9.85,10,21:37.5,2024-03-25,2024-01-06,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
44,Maserati,0.90,Afternoon,18,15,Batch_21,27.38,69.17,0.33,3,21:37.5,2024-04-18,2024-10-09,Model_48,2020,Hybrid,Hybrid,Manual,Coupe,82351,21.86,4,"Green, Yellow, Orange","Airbags, ABS, EBD",4,249,765,221,3.82,4824 x 1975 x 1587 mm,1947,65
45,Rivian,0.98,Night,15,41,Batch_23,20.01,62.85,1.00,3,21:37.5,2024-10-15,2024-04-16,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
46,Kia,0.98,Morning,16,4,Batch_41,16.98,60.34,3.96,1,21:37.5,2024-07-21,2024-10-29,Model_37,2008,V8,Diesel,Automatic,Coupe,40572,21.92,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,473,572,286,6.56,4236 x 1805 x 1513 mm,1066,69
47,BMW,0.89,Afternoon,4,23,Batch_11,26.21,57.40,4.92,1,21:37.5,2024-03-16,2024-09-25,Model_78,2011,V6,Petrol,Manual,Sedan,59934,21.49,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,328,268,204,4.49,4295 x 1862 x 1492 mm,1010,54
48,Mazda,0.86,Afternoon,20,17,Batch_37,16.46,45.22,5.68,9,21:37.5,2023-12-21,2024-06-04,Model_65,2019,V6,Hybrid,Manual,Coupe,46354,17.35,7,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,669,803,249,4.18,4760 x 1934 x 1530 mm,1529,54
49,Lincoln,0.94,Afternoon,3,8,Batch_49,21.91,66.14,1.32,8,21:37.5,2024-08-31,2024-06-13,Model_80,2016,V6,Petrol,Automatic,Sedan,61303,15.34,5,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,689,587,225,5.07,4281 x 1883 x 1405 mm,1512,67
50,Bentley,0.90,Night,8,11,Batch_78,17.46,33.96,4.88,2,21:37.5,2024-05-23,2024-05-21,Model_38,2009,V8,Petrol,Manual,Coupe,35197,11.33,2,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,254,455,268,6.16,4490 x 1722 x 1475 mm,1091,50
51,Bugatti,0.97,Night,9,45,Batch_48,24.42,67.00,2.91,10,21:37.5,2024-03-31,2024-01-31,Model_94,2009,V6,Diesel,Manual,SUV,34490,16.74,3,"Green, Yellow, Orange","Airbags, ABS, EBD",6,359,725,320,4.82,4602 x 1969 x 1507 mm,2116,65
52,Renault,0.86,Morning,10,33,Batch_8,18.14,68.81,3.06,0,21:37.5,2023-11-19,2024-04-17,Model_86,2007,V8,Petrol,Automatic,Sedan,44407,17.62,7,"White, Silver, Grey","Airbags, ABS, EBD",4,102,537,240,7.30,4457 x 1980 x 1467 mm,1352,64
53,Isuzu,0.84,Morning,14,22,Batch_62,25.47,68.56,0.15,0,21:37.5,2024-10-19,2024-04-19,Model_86,2023,Electric,Electric,Manual,Hatchback,77244,10.25,5,"Green, Yellow, Orange","Airbags, ABS, EBD",3,169,826,327,2.86,4499 x 1763 x 1527 mm,1540,
54,Bugatti,0.96,Afternoon,10,23,Batch_20,29.17,63.39,0.59,6,21:37.5,2024-05-08,2024-06-25,Model_94,2009,V6,Diesel,Manual,SUV,34490,16.74,3,"Green, Yellow, Orange","Airbags, ABS, EBD",6,359,725,320,4.82,4602 x 1969 x 1507 mm,2116,65
55,Lamborghini,0.94,Night,7,39,Batch_83,20.30,54.35,6.84,8,21:37.5,2024-10-26,2023-12-07,Model_89,2012,V8,Petrol,Automatic,Hatchback,46737,17.32,6,"White, Silver, Grey","Traction Control, Lane Assist",5,569,737,223,6.54,4662 x 1816 x 1497 mm,1258,68
56,Cadillac,0.89,Morning,17,17,Batch_64,24.63,41.89,0.92,3,21:37.5,2024-04-17,2024-07-30,Model_5,2003,Electric,Electric,Manual,Hatchback,65277,16.30,5,"White, Silver, Grey","Traction Control, Lane Assist",4,384,706,308,7.23,4086 x 1859 x 1458 mm,1998,
57,Isuzu,0.95,Afternoon,13,49,Batch_67,18.98,67.93,3.49,7,21:37.5,2024-04-20,2023-12-29,Model_86,2023,Electric,Electric,Manual,Hatchback,77244,10.25,5,"Green, Yellow, Orange","Airbags, ABS, EBD",3,169,826,327,2.86,4499 x 1763 x 1527 mm,1540,
58,Suzuki,0.93,Night,7,37,Batch_55,25.80,64.01,9.96,4,21:37.5,2024-08-03,2024-11-04,Model_22,2007,V6,Diesel,Manual,Coupe,55884,29.85,4,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,579,779,278,9.29,4168 x 1761 x 1556 mm,2087,51
59,GMC,0.85,Afternoon,15,25,Batch_62,22.75,45.35,5.48,7,21:37.5,2023-11-30,2024-03-30,Model_47,2019,Electric,Electric,Automatic,Coupe,95678,24.26,2,"Red, Blue, Black","Airbags, ABS, EBD",3,367,634,179,6.15,4235 x 1960 x 1520 mm,2096,
60,Acura,0.98,Night,5,18,Batch_69,19.24,44.76,6.12,2,21:37.5,2024-04-25,2024-09-07,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
61,Opel,0.91,Morning,18,16,Batch_74,16.05,41.90,1.35,6,21:37.5,2024-02-21,2024-10-20,Model_29,2013,Electric,Electric,Manual,Coupe,29039,18.28,7,"Green, Yellow, Orange","Traction Control, Lane Assist",4,154,222,290,4.21,4220 x 1999 x 1526 mm,1146,
62,Lexus,0.87,Morning,7,47,Batch_93,26.91,34.56,7.09,8,21:37.5,2024-03-11,2024-07-17,Model_67,2016,V6,Diesel,Manual,Sedan,83000,14.51,4,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,284,621,292,4.83,4064 x 1754 x 1515 mm,1188,61
63,Lamborghini,0.99,Afternoon,2,11,Batch_51,26.68,62.84,7.92,6,21:37.5,2024-07-24,2023-12-30,Model_89,2012,V8,Petrol,Automatic,Hatchback,46737,17.32,6,"White, Silver, Grey","Traction Control, Lane Assist",5,569,737,223,6.54,4662 x 1816 x 1497 mm,1258,68
64,Fiat,0.98,Afternoon,2,28,Batch_68,20.99,62.10,2.91,8,21:37.5,2024-08-05,2024-02-04,Model_19,2004,Electric,Electric,Manual,Coupe,29483,16.94,7,"Red, Blue, Black","Airbags, ABS, EBD",6,504,615,332,8.48,4641 x 1712 x 1429 mm,1231,
65,Lexus,0.97,Morning,5,35,Batch_43,22.42,48.63,1.04,5,21:37.5,2023-12-17,2024-05-24,Model_67,2016,V6,Diesel,Manual,Sedan,83000,14.51,4,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,284,621,292,4.83,4064 x 1754 x 1515 mm,1188,61
66,Bugatti,0.97,Morning,8,29,Batch_74,27.18,57.85,5.11,10,21:37.5,2024-05-10,2024-01-04,Model_94,2009,V6,Diesel,Manual,SUV,34490,16.74,3,"Green, Yellow, Orange","Airbags, ABS, EBD",6,359,725,320,4.82,4602 x 1969 x 1507 mm,2116,65
67,Smart,0.86,Morning,15,6,Batch_20,23.28,31.77,3.27,6,21:37.5,2024-04-05,2024-04-13,Model_73,2013,Electric,Electric,Manual,Sedan,39143,18.04,2,"Green, Yellow, Orange","Airbags, ABS, EBD",4,173,635,255,5.50,4625 x 1836 x 1489 mm,1642,
68,Genesis,0.96,Morning,17,44,Batch_25,18.50,61.90,9.62,7,21:37.5,2024-10-07,2024-01-03,Model_16,2014,Hybrid,Hybrid,Manual,Coupe,35414,26.38,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,498,864,280,5.53,4707 x 1753 x 1469 mm,2342,64
69,Audi,0.82,Morning,17,32,Batch_81,27.38,40.74,8.02,4,21:37.5,2024-03-16,2023-11-19,Model_11,2005,Electric,Electric,Manual,Sedan,46943,16.15,2,"Green, Yellow, Orange","Airbags, ABS, EBD",5,563,758,319,2.55,4808 x 1939 x 1591 mm,2248,
70,Kia,0.92,Night,10,31,Batch_27,20.48,54.40,7.66,3,21:37.5,2023-12-12,2024-07-25,Model_37,2008,V8,Diesel,Automatic,Coupe,40572,21.92,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,473,572,286,6.56,4236 x 1805 x 1513 mm,1066,69
71,Mercury,0.92,Morning,5,12,Batch_26,20.16,37.21,5.59,4,21:37.5,2024-11-10,2024-01-08,Model_48,2005,Electric,Electric,Automatic,Hatchback,40728,18.77,3,"White, Silver, Grey","Traction Control, Lane Assist",4,324,656,241,3.79,4175 x 1914 x 1488 mm,1262,
72,Lamborghini,0.99,Morning,19,11,Batch_48,22.05,57.89,1.64,1,21:37.5,2024-02-16,2024-06-28,Model_89,2012,V8,Petrol,Automatic,Hatchback,46737,17.32,6,"White, Silver, Grey","Traction Control, Lane Assist",5,569,737,223,6.54,4662 x 1816 x 1497 mm,1258,68
73,Suzuki,0.96,Night,18,10,Batch_33,20.58,61.07,5.67,5,21:37.5,2024-07-30,2024-01-23,Model_22,2007,V6,Diesel,Manual,Coupe,55884,29.85,4,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,579,779,278,9.29,4168 x 1761 x 1556 mm,2087,51
74,Skoda,0.86,Afternoon,5,30,Batch_39,21.35,48.95,6.21,8,21:37.5,2024-07-20,2024-03-17,Model_78,2010,V6,Diesel,Manual,SUV,71300,29.69,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",6,148,827,336,3.77,4586 x 1768 x 1431 mm,1931,52
75,Mercury,0.92,Morning,1,24,Batch_60,22.11,58.98,9.49,9,21:37.5,2024-02-01,2024-10-20,Model_48,2005,Electric,Electric,Automatic,Hatchback,40728,18.77,3,"White, Silver, Grey","Traction Control, Lane Assist",4,324,656,241,3.79,4175 x 1914 x 1488 mm,1262,
76,Acura,0.86,Morning,5,10,Batch_49,29.27,31.37,2.46,8,21:37.5,2023-12-02,2024-08-28,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
77,Maserati,0.88,Morning,13,32,Batch_64,16.42,53.28,3.47,2,21:37.5,2024-09-26,2024-09-19,Model_48,2020,Hybrid,Hybrid,Manual,Coupe,82351,21.86,4,"Green, Yellow, Orange","Airbags, ABS, EBD",4,249,765,221,3.82,4824 x 1975 x 1587 mm,1947,65
78,Opel,0.89,Morning,7,7,Batch_78,20.93,51.64,5.83,7,21:37.5,2024-05-20,2024-11-03,Model_29,2013,Electric,Electric,Manual,Coupe,29039,18.28,7,"Green, Yellow, Orange","Traction Control, Lane Assist",4,154,222,290,4.21,4220 x 1999 x 1526 mm,1146,
79,Lincoln,0.82,Night,14,48,Batch_81,22.66,69.51,6.65,3,21:37.5,2024-05-29,2024-10-10,Model_80,2016,V6,Petrol,Automatic,Sedan,61303,15.34,5,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,689,587,225,5.07,4281 x 1883 x 1405 mm,1512,67
80,Rolls-Royce,0.82,Morning,15,19,Batch_100,25.24,61.12,3.84,9,21:37.5,2023-11-22,2024-10-14,Model_90,2004,Electric,Electric,Manual,Sedan,34456,20.73,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,601,255,207,6.90,4953 x 1769 x 1475 mm,1839,
81,Polestar,0.91,Morning,18,42,Batch_44,25.77,43.78,3.32,5,21:37.5,2024-10-22,2024-06-02,Model_83,2016,Hybrid,Hybrid,Automatic,Hatchback,94144,19.15,6,"White, Silver, Grey","Traction Control, Lane Assist",5,509,900,347,7.59,4529 x 1726 x 1578 mm,1830,66
82,Honda,0.91,Night,7,21,Batch_20,24.59,68.62,9.60,2,21:37.5,2024-04-15,2024-06-07,Model_11,2011,V8,Petrol,Manual,Hatchback,52649,13.07,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,670,836,159,6.11,4210 x 1933 x 1543 mm,1261,40
83,Kia,0.98,Night,18,13,Batch_59,25.03,66.60,6.55,0,21:37.5,2024-08-16,2024-02-13,Model_37,2008,V8,Diesel,Automatic,Coupe,40572,21.92,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,473,572,286,6.56,4236 x 1805 x 1513 mm,1066,69
84,Mercedes-Benz,0.96,Night,8,49,Batch_83,21.54,37.10,4.22,9,21:37.5,2024-05-07,2024-05-24,Model_76,2000,V6,Diesel,Automatic,SUV,88004,12.19,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,653,544,303,8.79,4852 x 1924 x 1458 mm,2163,43
85,Ram Trucks,0.86,Afternoon,6,27,Batch_72,29.31,61.69,0.12,3,21:37.5,2024-07-16,2024-04-06,Model_69,2018,Electric,Electric,Manual,Coupe,51389,12.10,5,"Red, Blue, Black","Airbags, ABS, EBD",6,469,596,346,4.03,4091 x 1782 x 1511 mm,1338,
